symbol	loading
AT3G55920	-0.041023148861676
AT5G10140	-0.0392687795166117
AT5G14110	-0.0352646306248939
AT1G77960	-0.0300310446353935
AT3G55910	-0.0294618304255633
AT1G49570	-0.0275650206486662
AT1G14250	-0.0275457076424939
AT1G05397	-0.0270479146285743
AT2G03020	-0.0266050349491533
AT3G06355	-0.0265891949970216
AT1G30920	-0.0253921491790461
AT1G13448	-0.0243147125814283
AT1G73610	-0.0235192902401402
AT3G09922	-0.0234923416017177
AT4G38700	-0.0234504629944247
AT5G58310	-0.0232203736699238
AT5G35940	-0.0224596676178167
AT5G07640	-0.0223989401507275
AT1G18990	-0.0221467046439602
AT3G54580	-0.0216041234357147
AT3G03776	-0.0215406154584883
AT2G45660	0.0215141848669325
AT3G19430	-0.0213207182089461
AT4G12490	-0.0212433180410131
AT2G24980	-0.0208065696890732
AT3G54590	-0.0206852357857612
AT3G55900	-0.0206471774378932
AT1G48530	-0.0203671047667119
AT1G77120	-0.0202445653683562
AT4G28520	-0.0201445749156236
AT1G72860	-0.020119670388998
AT5G48490	-0.0200205611453663
AT2G01860	-0.0199934457933354
AT5G19890	-0.0198680001948113
AT3G44990	-0.0196861863465718
AT3G21720	-0.0196648354936655
AT3G15440	-0.0196413582013788
AT2G23590	-0.0195168647410327
AT1G11070	-0.0194277300284207
AT2G43920	-0.0191261457349403
AT4G12480	-0.0189846899129884
AT1G75290	-0.0189418685654813
AT4G27160	-0.0188302764576625
AT1G43800	-0.0186551530906454
AT2G05510	-0.0186498958391208
AT2G26010	-0.0186495003906813
AT2G06995	-0.0186349542262706
AT5G06640	-0.0185621178843585
AT5G65080	-0.0185102878421127
AT3G05950	-0.0185035135620738
AT4G13575	-0.0183387399846669
AT5G46440	-0.0182040886774143
AT2G47750	-0.0181986644389962
AT1G53490	-0.0180572048016128
AT4G33720	-0.0179167362486128
AT5G06630	-0.0177161574226742
AT1G12100	-0.0176479930831703
AT5G43570	-0.0175993095173421
AT4G08410	-0.0175805504906608
AT3G53370	-0.0174040584522878
AT5G64120	-0.0173096341794682
AT1G03820	-0.0173019113740676
AT4G01630	-0.0172852440157035
AT5G67400	-0.0172446954299374
AT5G14650	-0.0171461676175391
AT5G24160	-0.01714399051803
AT3G51180	-0.0170842278743501
AT2G14580	-0.0170583831089731
AT4G22505	-0.0169214383397184
AT4G31940	-0.0168575673197455
AT1G15160	-0.0168146036897216
AT3G09405	-0.016784166212914
AT5G35926	-0.0167384085835968
AT4G29990	-0.0166601173168522
AT3G62680	-0.0165425454879601
AT1G71330	-0.0165227083334532
AT4G08400	-0.0165185946894956
AT2G14247	-0.0164794230014437
AT2G32990	-0.0164714038230058
AT1G56600	-0.0164209967117434
AT1G24996	-0.0163820761121565
AT4G16540	-0.0163506399174173
AT2G21850	-0.0163370743547666
AT3G23550	-0.0162125557999192
AT2G45930	-0.0161749077493291
AT5G20640	-0.0161613113530142
AT1G23720	-0.0161398590118953
AT4G13390	-0.0161323499233845
AT5G25130	-0.0161163627608347
AT4G35720	-0.0161128277913913
AT3G28550	-0.0160679716794326
AT3G11080	-0.0160623651033527
AT1G52990	-0.0160394000036033
AT1G52000	-0.0159906952169856
AT4G13860	-0.0159410778354304
AT2G30790	-0.0159286714184237
AT3G29639	-0.015912307310385
AT1G21210	-0.0158993746383087
AT2G18680	-0.0158840401438744
AT4G15953	-0.0158484552415599
AT3G47360	-0.0158417945326394
AT2G38390	-0.0158102896345804
AT2G06002	-0.0158088000913077
AT5G35190	-0.0158030007319675
AT2G39700	-0.0157927172040334
AT2G03090	-0.0157192976632923
AT3G11010	-0.0156757127715918
AT4G33070	-0.0156474060124387
AT1G08090	-0.0156400672034162
AT4G38300	-0.0155816405270219
AT4G15710	-0.0155685204363934
AT1G67150	-0.0155518629484638
AT5G64110	-0.0155513284868525
AT1G16400	-0.0155265517313388
AT2G41240	-0.0154561956863228
AT2G33790	-0.0154532288216735
AT1G18880	-0.0154270800335839
AT4G27030	-0.0154044827430167
AT5G65690	-0.0152857402883977
AT5G43590	-0.0152087338614613
AT3G60140	-0.0151987766233078
AT2G34790	-0.0151908790775308
AT1G12040	-0.0151899317565712
AT4G30570	-0.0151309244486455
AT5G59660	-0.015114991606038
AT5G40180	-0.0150879464315593
AT2G21260	-0.0150729116135901
AT4G00910	-0.0150439397243517
AT5G44980	-0.0150410763502466
AT1G47395	-0.0150188968090749
AT1G54970	-0.014918282963214
AT5G44120	-0.0149156760791491
AT1G13609	-0.0149050861736549
AT1G13650	-0.0149022218613639
AT3G47580	-0.0148067151952325
AT3G02885	-0.0147890184036314
AT1G72840	-0.0147839060708258
AT5G48430	-0.0147815935531206
AT4G23680	-0.0147492211139424
AT4G21090	-0.0147464458312071
AT1G56660	-0.0147347582620597
AT4G30140	-0.0147185321833495
AT3G50440	-0.0146615934027001
AT2G47180	-0.0146426169403482
AT3G26350	-0.0146338808633079
AT4G24780	-0.0146265753221723
AT1G05035	0.0146196588682727
AT1G76780	-0.0145687723932039
AT1G63080	-0.0145201797983801
AT2G02120	-0.014492427702642
AT4G22485	-0.0144437594867686
AT5G06190	-0.0144372280233458
AT5G33390	0.0143976728092547
AT3G14210	-0.0143926128599947
AT4G01700	-0.0143719288276614
AT4G25790	-0.0143635932854127
AT4G22755	-0.0143495257068374
AT4G16960	-0.0143183661038985
AT5G13990	-0.0143057467411162
AT1G01580	-0.014278521708741
AT1G64390	-0.0142754413238947
AT4G12470	-0.0142748875802583
AT4G28850	-0.0142720544381759
AT4G21480	-0.0142491491559612
AT1G72760	-0.0142457585942114
AT1G30870	-0.014224914565355
AT4G40090	-0.0142239324552221
AT3G13680	-0.0142084513782021
AT4G18940	-0.0142074437376425
AT1G43160	-0.0141574086389376
AT5G54370	-0.014122030727396
AT1G17560	-0.0141153389795065
AT4G03440	-0.014098844645071
AT2G19550	-0.0140818851054242
AT4G16260	-0.0140587094182039
AT4G03490	-0.0140494265696034
AT5G01820	-0.0140467803365665
AT5G39330	-0.0140399881126411
AT2G18780	-0.0140387163018608
AT3G16350	-0.0140368164145699
AT5G48780	-0.0140298671774772
AT5G07570	-0.0140214753664949
AT1G62770	-0.0139881758352006
AT3G02870	-0.0139753461361353
AT5G09600	-0.0139703638142592
AT4G13572	-0.0139630980473775
AT4G26010	-0.0139455607828717
AT1G73120	-0.013944946321774
AT4G33560	-0.0139427404622966
AT2G22610	-0.0139398144849975
AT5G66460	-0.0139306247981887
AT5G13770	-0.0139230767745989
AT1G66100	-0.0139166659436688
AT4G15480	-0.0139104236842555
AT4G28040	-0.0139099967785529
AT1G22140	-0.0138889423469893
AT3G44900	-0.0138861746998305
AT5G19110	-0.01388507015863
AT3G28270	-0.0138812149711756
AT1G12855	-0.0138717090168459
AT1G05650	-0.0138620141931516
AT3G01060	-0.0138399455135953
AT2G16890	-0.0137970023744551
AT2G45360	-0.0137821166750427
AT5G23990	-0.013773576972409
AT1G62440	-0.0137555379712009
AT5G24420	-0.0137346174386644
AT1G78780	-0.0137148419899239
AT4G13577	-0.0136878125542495
AT1G77765	-0.0136686264336524
AT4G14020	-0.0136549688624556
AT2G05440	-0.0136353392939361
AT1G44446	-0.013633942276003
AT2G01610	-0.013617979448462
AT1G67940	-0.013596348603184
AT1G31320	-0.0135818144713393
AT4G18440	-0.0135671823920552
AT1G61290	-0.0135645721723463
AT5G03350	-0.0135364445156828
AT3G59140	-0.0135225617961267
AT3G25190	-0.0134986123128489
AT3G59480	-0.013494309499364
AT5G66830	-0.0134382839766134
AT1G12010	-0.0134130220043185
AT1G51840	-0.0134070682291798
AT1G21310	-0.0134014652170459
AT1G32950	-0.013395128699517
AT4G31850	-0.0133778465454431
AT4G38230	-0.0133663593607959
